epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries,avg_queries,cpu_time,gap_FW,gap_AS
0.05,fw_pair,-1,False,ls,0.93,1935,968.231246766684,0.16118080703569582,2.0047638416290283,-1.9403398036956787
0.05,fw_pair,1,True,lipschitz_mnist,0.09,202,101.74,0.011328125,-0.0065091573633253574,6.483406866930608e-11
0.05,fw_pair,1,True,decay,0.09,202,101.74,0.01046875,-0.0065091573633253574,6.483406866930608e-11
0.05,fw_pair,1,True,amjo,0.09,202,101.74,0.031640625,-0.0065091573633253574,6.483406866930608e-11
0.05,fw_pair,1,True,ls,0.24,205,103.24137931034483,0.1477832512315271,-0.006262289360165596,0.004386557266116142
0.05,fw_pair,1,False,lipschitz_mnist,0.09,202,101.74,0.011015625,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_pair,1,False,decay,0.09,202,101.74,0.01203125,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_pair,1,False,amjo,0.09,202,101.74,0.02234375,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_pair,1,False,ls,0.09,202,101.74,0.162421875,-0.0001485628163209185,-5.383480674936436e-05
0.05,fw_pair,2,True,lipschitz_mnist,1.0,2002,1001.74,0.011125,0.3274899125099182,-0.3193052113056183
0.05,fw_pair,2,True,decay,1.0,2002,1001.74,0.01115625,0.3210303783416748,-0.31293538212776184
0.05,fw_pair,2,True,amjo,1.0,2002,1001.74,0.02215625,0.32011088728904724,-0.31610870361328125
0.05,fw_pair,2,True,ls,1.0,2002,1001.74,0.14971875,0.32040175795555115,-0.31550127267837524
0.05,fw_pair,2,False,lipschitz_mnist,0.99,1984,992.7421796165489,0.011565022704339052,0.2608458995819092,-0.2284885197877884
0.05,fw_pair,2,False,decay,0.99,1984,992.7421796165489,0.012424318869828456,0.2437787801027298,-0.23746085166931152
0.05,fw_pair,2,False,amjo,0.99,1984,992.7421796165489,0.02388685671039354,0.24264784157276154,-0.23707859218120575
0.05,fw_pair,2,False,ls,0.99,1984,992.7421796165489,0.16094065338042382,0.241213858127594,-0.23676837980747223
0.3,fw,-1,True,lipschitz_mnist,0.45,1321,661.2547384382108,0.011064253222137983,14.950769424438477,
0.3,fw,-1,True,decay,0.03,734,367.7472677595628,0.011270491803278689,0.01953083463013172,
0.3,fw,-1,True,amjo,0.02,742,371.7351351351351,0.025274493243243244,0.013744332827627659,
0.3,fw,-1,True,ls,0.0,733,367.24897400820794,0.14759319425444598,0.04623401537537575,
0.3,fw,-1,False,lipschitz_mnist,0.03,394,197.71938775510205,0.011918048469387755,3.631776780821383e-05,
0.3,fw,-1,False,decay,0.01,355,178.20113314447593,0.010401912181303116,5.920089461142197e-05,
0.3,fw,-1,False,amjo,0.0,371,186.18970189701898,0.024220867208672087,0.0027313989121466875,
0.3,fw,-1,False,ls,0.0,354,177.7215909090909,0.15758167613636365,0.00027663534274324775,
0.3,fw,1,True,lipschitz_mnist,0.09,202,101.74,0.01203125,-0.010199062526226044,
0.3,fw,1,True,decay,0.09,202,101.74,0.010703125,-0.010199062526226044,
0.3,fw,1,True,amjo,0.09,202,101.74,0.02796875,-0.010199062526226044,
0.3,fw,1,True,ls,0.23,203,102.24378109452736,0.14567786069651742,-0.018321149051189423,
0.3,fw,1,False,lipschitz_mnist,0.09,202,101.74,0.01109375,-0.0008913769270293415,
0.3,fw,1,False,decay,0.09,202,101.74,0.01,-0.0008913769270293415,
0.3,fw,1,False,amjo,0.09,202,101.74,0.02046875,-0.0008913769270293415,
0.3,fw,1,False,ls,0.09,202,101.74,0.16296875,-0.0008913769270293415,
0.3,fw,2,True,lipschitz_mnist,0.95,2002,1001.74,0.010375,3.310309886932373,
0.3,fw,2,True,decay,0.92,2002,1001.74,0.01059375,2.2251925468444824,
0.3,fw,2,True,amjo,0.94,2002,1001.74,0.0166171875,3.310309886932373,
0.3,fw,2,True,ls,0.95,2002,1001.74,0.1466171875,3.310309886932373,
0.3,fw,2,False,lipschitz_mnist,0.84,1851,926.2482422931314,0.011298336938885885,2.7691428661346436,
0.3,fw,2,False,decay,0.71,1793,897.2423227247348,0.011027359017308766,1.0989694595336914,
0.3,fw,2,False,amjo,0.74,1816,908.7442116868798,0.018760336273428886,2.7691428661346436,
0.3,fw,2,False,ls,0.78,1835,918.24168030551,0.15984724495362793,2.7691428661346436,
0.3,fw_away,-1,True,lipschitz_mnist,0.45,2002,1001.74,0.0122421875,14.950769424438477,-1.3760961294174194
0.3,fw_away,-1,True,decay,0.01,2002,1001.74,0.013453125,8.328636613441631e-05,5.2067516662646085e-05
0.3,fw_away,-1,True,amjo,0.02,2002,1001.74,0.031859375,3.9043399738147855e-05,1.0926991308224387e-05
0.3,fw_away,-1,True,ls,0.0,2002,1001.74,0.1492734375,8.108693145914003e-05,2.539463275752496e-05
0.3,fw_away,-1,False,lipschitz_mnist,0.01,2002,1001.74,0.0122578125,2.0763341268548174e-08,-6.075963732143919e-09
0.3,fw_away,-1,False,decay,0.0,2002,1001.74,0.0136484375,1.2900715295725555e-20,6.484870628010559e-21
0.3,fw_away,-1,False,amjo,0.0,2002,1001.74,0.0229765625,2.874759097437618e-08,-6.115037365361786e-09
0.3,fw_away,-1,False,ls,0.0,2002,1001.74,0.1619453125,3.3282117062327643e-09,9.835418035564203e-10
0.3,fw_away,1,True,lipschitz_mnist,0.09,2002,1001.74,0.0120234375,-0.03513919562101364,0.03513919562101364
0.3,fw_away,1,True,decay,0.09,2002,1001.74,0.0113984375,-0.018527556210756302,0.018527556210756302
0.3,fw_away,1,True,amjo,0.09,2002,1001.74,0.031234375,-0.002737700939178467,8.722803613636643e-06
0.3,fw_away,1,True,ls,0.27,2002,1001.74,0.14596875,-0.02422841638326645,0.0179160013794899
0.3,fw_away,1,False,lipschitz_mnist,0.09,2002,1001.74,0.011734375,-0.0019200113601982594,0.0
0.3,fw_away,1,False,decay,0.09,2002,1001.74,0.012421875,-0.005308862309902906,0.0017766355304047465
0.3,fw_away,1,False,amjo,0.09,2002,1001.74,0.0253515625,-0.0027447654865682125,0.002641966100782156
